field1,percent2,percent3,percent4,percent5,percent6,percent7,percent8,percent9,percent10,percent11,percent12,percent13,percent14,percent15,percent16,percent17,percent18,percent19,percent20,percent21,percent22,percent23,percent24,percent25
2006,10579,5824,3133,1715,984,523,1039,625,518,513,366,163,319,242,536,231,636,201,381,122,102,83,2565,1406
2007,10975,6442,3318,1931,1126,639,1079,662,729,364,396,205,311,281,415,244,534,190,412,130,79,78,2576,1718
2008,11119,6668,3278,1929,1263,762,853,527,571,524,567,322,220,207,475,231,545,177,429,139,204,216,2714,1634
2009,11126,6647,3320,1906,1149,680,813,479,610,570,608,333,279,193,440,227,561,198,435,172,278,211,2633,1678
2010,11465,6846,3439,2037,1164,623,790,496,601,551,647,351,257,240,441,227,516,183,419,147,307,255,2884,1736
2011,12120,7462,3653,2161,1315,751,836,545,642,622,558,375,291,260,373,193,527,208,481,158,334,273,3110,1916
2012,12454,7716,3766,2302,1420,758,850,614,651,590,659,408,252,268,371,202,567,215,396,165,365,298,3157,1896
2013,12670,7837,3906,2427,1576,897,868,573,667,611,672,364,295,304,361,193,487,192,433,143,322,286,3083,1847
2014,13265,8446,3987,2482,1746,1074,895,604,631,656,781,466,330,295,379,181,533,231,423,148,367,279,3193,2030
2015,13373,8713,4059,2636,1780,1198,852,634,634,571,837,507,311,307,381,208,563,196,399,162,316,242,3241,2052
2016,14174,9016,4167,2583,1935,1200,921,603,657,592,1007,629,339,318,411,203,552,222,408,158,300,249,3477,2259
2017,14003,9598,4140,2818,1947,1399,914,622,633,581,1101,720,332,368,384,252,536,229,380,164,312,239,3324,2206
2018,14290,9680,4255,2771,2214,1471,881,590,587,546,1315,903,398,363,398,240,524,226,332,145,273,244,3113,2181
2019,14792,10129,4434,3015,2103,1430,870,627,650,565,1549,1022,338,341,407,225,543,208,359,151,277,264,3262,2281
2020,14414,10121,4310,3037,2180,1563,883,622,679,653,1325,847,346,314,409,226,518,210,358,133,286,245,3120,2271
2021,15841,11268,4598,3232,2292,1530,951,663,865,787,1167,794,376,376,367,222,528,220,328,141,495,435,3874,2868
2022,18014,12745,4744,3264,2549,1742,966,667,898,833,1176,688,445,392,375,255,489,235,371,176,526,480,5475,4013
2023,17555,12449,4823,3373,2393,1643,1044,684,851,711,1376,887,439,422,441,254,552,247,347,126,577,479,4712,3623
