field1,"item value2","item value3","item value4","item value5","item value6","item value7","item value8","item value9","item value10","item value11","item value12","item value13","item value14","item value15","item value16","item value17","item value18","item value19","item value20","item value21"
2006,96,56,56,35,39,8,31,32,192,73,1248,519,3045,1322,5936,3814,-,-,-,-
2007,88,66,48,34,21,18,26,18,161,64,1127,485,3159,1451,6393,4340,65.54,69.12,69,73
2008,65,70,34,46,15,18,27,19,154,78,1135,472,3163,1488,6560,4523,66.1,69.5,70,74
2009,66,54,37,27,17,23,36,17,142,79,1071,448,3255,1483,6539,4543,66.4,70.1,70,74
2010,62,38,34,27,44,27,27,21,142,47,1053,426,3353,1609,6812,4689,66.9,70.9,70,75
2011,73,48,46,26,31,19,44,21,164,64,1066,452,3626,1649,7259,5267,67.180115512,71.392924149,70,76
2012,61,67,38,43,19,18,27,21,154,59,1025,443,3655,1752,7513,5356,67.80319576,71.513867289,71,76
2013,76,59,36,37,10,14,27,19,119,52,913,411,3767,1760,7758,5522,68.489423836,71.956233253,71,76
2014,88,59,57,42,22,13,31,16,117,42,924,403,3853,1835,8230,6078,68.882,72.773,72,76
2015,84,64,50,41,14,10,20,15,139,64,917,405,3950,1889,8249,6266,68.893292455,72.8,71,77
2016,82,60,52,38,15,11,22,32,131,64,926,412,4112,1816,8950,6623,69.3,73.4,71,78
2017,81,55,55,35,13,6,20,13,116,61,868,385,3939,1957,8966,7121,69.8,73.9,72,78
2018,74,50,45,36,13,9,19,16,115,42,802,424,3970,1815,9297,7324,70.2,74.3,72,78
2019,79,61,58,46,12,9,22,16,127,51,809,365,4130,1899,9613,7728,69.9,74.6,71,78
2020,51,49,34,36,19,11,13,13,138,58,736,341,3800,1870,9657,7779,70.5,74.8,72,79
2021,70,43,50,29,11,3,19,15,89,58,779,399,3992,1881,10881,8869,71,75.5,72,79
2022,50,44,33,28,11,14,22,11,96,56,764,381,4332,1984,12739,10255,71.9,76.4,73,80
